Alexandra Daddario | 
Arlene Dahl | 
Tyne Daly | 
Dorothy Dandridge | 
Claire Danes | 
Beverly D'Angelo | 
Brittany Daniel | 
Bebe Daniels | 
Erin Daniels | 
Blythe Danner | 
Linda Darnell | 
Lisa Darr | 
Alexa Davalos | 
Amy Davidson | https://twitter.com/Amy_Davidson
Jane Darwell | 
Stacey Dash | https://twitter.com/REALStaceyDash
Ann B. Davis | 
Bette Davis | 
Dana Davis | 
Geena Davis | 
Hope Davis | 
Josie Davis | 
Kristin Davis | https://twitter.com/KristinDavis
Phyllis Davis | 
Viola Davis | 
Pam Dawber | 
Rosario Dawson | 
Roxann Dawson | 
Doris Day | 
Marceline Day | 
Priscilla Dean | 
Yvonne De Carlo | 
Brooklyn Decker | https://twitter.com/BrooklynDecker
Ruby Dee | 
Sandra Dee | 
Kaylee DeFer | 
Ellen DeGeneres | 
Gloria DeHaven | 
Olivia de Havilland | 
Wanda De Jesus | 
Paz de la Huerta | 
Kim Delaney | 
Diane Delano | 
Dana Delany | https://twitter.com/DanaDelany
Julie Delpy | 
Rebecca De Mornay | 
Carol Dempster | 
Lori Beth Denberg | 
Kat Dennings | 
Sandy Dennis | 
Bo Derek | 
Laura Dern | 
Portia de Rossi | 
Donna D'Errico | 
Emily Deschanel | 
Zooey Deschanel | https://twitter.com/ZooeyDeschanel
Amanda Detmer | 
Zoey Deutch | https://twitter.com/ZoeyDeutch
Loretta Devine | 
Torrey DeVitto | https://twitter.com/TorreyJDevitto
Jenna Dewan | 
Joyce DeWitt | 
Noureen DeWulf | https://twitter.com/NoureenDeWulf
Susan Dey | 
Cameron Diaz | 
Angie Dickinson | 
Marlene Dietrich | 
Victoria Dillard | 
Phyllis Diller | 
Melinda Dillon | 
Mia Dillon | 
Donna Dixon | 
Ellen Drew | 
Megan Dodds | 
Shannen Doherty | 
Ami Dolenz | 
Dagmara Dominczyk | 
Elinor Donahue | 
Elisa Donovan | https://twitter.com/RedDonovan
Donna Douglas | 
Illeana Douglas | 
Billie Dove | 
Doris Dowling | 
Rachel Dratch | 
Fran Drescher | 
Louise Dresser | 
Marie Dressler | 
Julia Louis-Dreyfus | 
Joanne Dru | 
Alice Drummond | 
Haylie Duff | https://twitter.com/HaylieDuff
Hilary Duff | https://twitter.com/hilaryduff
Olympia Dukakis | 
Patty Duke | 
Faye Dunaway | 
Dominique Dunne | 
Irene Dunne | 
Mildred Dunnock | 
Kirsten Dunst | https://twitter.com/kirstendunst
Tiffany Dupont | 
Deanna Durbin | 
Eliza Dushku | 
Clea DuVall | 
Shelley Duvall | 
Alexis Dziena | https://twitter.com/msalexisdziena
Bobbie Eakes | 
Leslie Easterbrook | 
Alison Eastwood | 
Sonya Eddy | 
Melissa Claire Egan | 
Nicole Eggert | 
Jennifer Ehle | 
Lisa Eilbacher | 
Jill Eikenberry | 
Carmen Electra | https://twitter.com/carmenelectra
Erika Eleniak | 
Jenna Elfman | 
Shannon Elizabeth | 
Vera-Ellen | 
Jane Elliot | 
Patricia Elliott | 
Jena Engstrom | 
Kathryn Erbe | 
Jennifer Esposito | 
Judi Evans | 
Linda Evans | 
Mary Beth Evans | 
Eve (entertainer) | 
Angie Everhart | 
Briana Evigan | 
Kayla Ewell | 
Morgan Fairchild | https://twitter.com/morgfair
Lola Falana | 
Siobhan Fallon Hogan | 
Dakota Fanning | 
Elle Fanning | 
Anna Faris | 
Frances Farmer | 
Vera Farmiga | 
Terry Farrell (actress) | 
Mia Farrow | 
Farrah Fawcett | 
Barbara Feldon | 
Sherilyn Fenn | 
America Ferrera | 
Tina Fey | 
Sally Field | 
Linda Fiorentino | 
Danielle Fishel | 
Jenna Fischer | https://twitter.com/jennafischer
Carrie Fisher | 
Joely Fisher | 
Schuyler Fisk | 
Fannie Flagg | 
Jennifer Flavin | 
Rhonda Fleming | 
Louise Fletcher | 
Calista Flockhart | 
Nina Foch | 
Megan Follows | 
Bridget Fonda | 
Jane Fonda | 
Lyndsy Fonseca | https://twitter.com/LyndsyMFonseca
Joan Fontaine | 
Deborah Foreman | 
Jodie Foster | 
Meg Foster | 
Sara Foster | 
Sutton Foster | https://twitter.com/sfosternyc
Jorja Fox | 
Megan Fox | 
Vivica A. Fox | 
Bonnie Franklin | 
Diane Franklin | 
Kate French | 
Lindsay Frost | 
Soleil Moon Frye | 
Isabelle Fuhrman | https://twitter.com/isabellefuhrman
Annette Funicello | 
Eva Gabor | 
Bethany Joy Galeotti | http://twitter.com/BethanyJoyLenz/
Ava Gardner | 
Judy Garland | 
Jennifer Garner | 
Kelli Garner | 
Peggy Ann Garner | 
Janeane Garofalo | 
Teri Garr | 
Greer Garson | 
Jennie Garth | http://twitter.com/jenniegarth/
Ana Gasteyer | 
Janina Gavankar | https://twitter.com/janina
Erica Gavin | 
Rebecca Gayheart | 
Janet Gaynor | 
Mitzi Gaynor | 
Barbara Bel Geddes | 
Sarah Michelle Gellar | 
Gladys George | 
Lauren German | 
Gina Gershon | 
Jami Gertz | 
Cynthia Gibb | 
Debbie Gibson | 
Kelli Giddish | 
Melissa Gilbert | 
Sara Gilbert | https://twitter.com/THEsaragilbert
Elizabeth Gillies | https://twitter.com/LizGillies
Peri Gilpin | 
Annabeth Gish | 
Dorothy Gish | 
Lillian Gish | 
Robin Givens | 
Summer Glau | 
Lola Glaudini | 
Paulette Goddard | 
Tracey Gold | 
Whoopi Goldberg | 
Gage Golightly | https://twitter.com/gagegolightly
Selena Gomez | https://twitter.com/selenagomez
Meagan Good | 
Ginnifer Goodwin | https://twitter.com/ginnygoodwin
Ruth Gordon | 
Betty Grable | 
Maggie Grace | https://twitter.com/MaggieGrace
Aimee Graham | 
Heather Graham | https://twitter.com/imheathergraham
Katerina Graham | 
Lauren Graham | https://twitter.com/thelaurengraham
Gloria Grahame | 
Ariana Grande | 
Lee Grant | 
Bonita Granville | 
Karen Grassle | 
Erin Gray | 
Alice Greczyn | 
Ashley Greene | 
Judy Greer | https://twitter.com/missjudygreer
Jennifer Grey | 
Virginia Grey | 
Pam Grier | https://twitter.com/PamGrier
Corinne Griffith | 
Melanie Griffith | 
Leslie Grossman | 
Carla Gugino | 
Grace Gummer | 
Mamie Gummer | 
Anna Gunn | 
Jasmine Guy | 
Maggie Gyllenhaal | 
Shelley Hack | 
Joan Hackett | 
Jean Hagen | 
Leisha Hailey | 
Barbara Hale | 
Lucy Hale | https://twitter.com/lucyhale
Grayson Hall | 
Veronica Hamel | 
Linda Hamilton | 
Margaret Hamilton | 
Daryl Hannah | 
Alyson Hannigan | https://twitter.com/alydenisof
Sammi Hanratty | 
Marcia Gay Harden | 
Melora Hardin | 
Ann Harding | 
Mariska Hargitay | 
Jean Harlow | 
Angie Harmon | https://twitter.com/Angie_Harmon
Elisabeth Harnois | https://twitter.com/elisabethharnoi
Tess Harper | 
Laura Harring | 
Barbara Harris (actress) | 
Danielle Harris | https://twitter.com/halloweengal
Danneel Harris | https://twitter.com/DanneelHarris
Julie Harris | 
Rachael Harris | 
Harriet Sansom Harris | 
Linda Harrison (actress) | 
Kathryn Harrold | 
Melissa Joan Hart | https://twitter.com/MelissaJoanHart
Mariette Hartley | 
Elizabeth Hartman | 
Lisa Hartman | 
Teri Hatcher | 
Anne Hathaway | 
Marcia Haufrecht | 
Aaliyah Haughton | 
Wanda Hawley | 
Goldie Hawn | 
Salma Hayek | 
Allison Hayes | 
Helen Hayes | 
Susan Hayward | 
Rita Hayworth | 
Glenne Headly | 
Shari Headley | 
Amber Heard | 
Patricia Heaton | 
Anne Heche | 
Eileen Heckart | 
Tippi Hedren | 
Katherine Heigl | https://twitter.com/katieheigl
Marg Helgenberger | 
Katherine Helmond | 
Mariel Hemingway | 
Zulay Henao | 
Florence Henderson | 
Christina Hendricks | 
Marilu Henner | 
Pamela Hensley | 
Taraji P. Henson | 
Katharine Hepburn | 
Barbara Hershey | 
Lori Heuring | 
Jennifer Love Hewitt | https://twitter.com/TheReal_Jlh
Catherine Hicks | 
Marianna Hill | 
Paris Hilton | 
Nichole Hiltz | 
Cheryl Hines | 
Connie Hines | 
Marin Hinkle | 
Gaby Hoffmann | 
Alexandra Holden | 
Laurie Holden | 
Willa Holland | https://twitter.com/Willaaaah
Judy Holliday | 
Laurel Holloman | https://twitter.com/nalamommy
Lauren Holly | 
Celeste Holm | 
Katie Holmes | 
Darla Hood | 
Charlene Holt | 
Miriam Hopkins | 
Hedda Hopper | 
Lena Horne | 
Julianne Hough | 
Whitney Houston | 
Bryce Dallas Howard | 
Traylor Howard | 
Season Hubley | 
Vanessa Hudgens | 
Jennifer Hudson | 
Kate Hudson | 
Felicity Huffman | https://twitter.com/felicityhuffman
Finola Hughes | https://twitter.com/finolahughes
Josephine Hull | 
Bonnie Hunt | 
Helen Hunt | 
Linda Hunt | 
Holly Hunter | 
Ruth Hussey | 
Anjelica Huston | 
Lauren Hutton | 
Martha Hyer | 
Sarah Hyland | https://twitter.com/Sarah_Hyland
Joyce Hyser | 
Laura Innes | 
Jill Ireland | 
Kathy Ireland | 
Amy Irving | 
Judith Ivey | 
Janet Jackson | 
Kate Jackson | 
Sherry Jackson | 
Victoria Jackson | 
Allison Janney | 
Claudia Jennings | 
Scarlett Johansson | 
Amy Jo Johnson | 
Lynn-Holly Johnson | 
Angelina Jolie | 
Anissa Jones | 
Carolyn Jones | 
Catherine Zeta Jones | 
Cherry Jones | 
Janet Jones | 
January Jones | 
Jennifer Jones (actress) | 
Rashida Jones | https://twitter.com/iamrashidajones
Shirley Jones | 
Tamala Jones | 
Milla Jovovich | 
Elaine Joyce | 
Ella Joyce | 
Ashley Judd | 
Victoria Justice | https://twitter.com/VictoriaJustice
Jane Kaczmarek | 
Madeline Kahn | 
Mindy Kaling | https://twitter.com/SalkWEEI
Melina Kanakaredes | 
Carol Kane | 
Chelsea Kane | 
Mitzi Kapture | 
Jane Kean | 
Staci Keanan | 
Diane Keaton | 
Arielle Kebbel | 
Monica Keena | 
Catherine Keener | 
Sally Kellerman | 
Sheila Kelley (American actress) | https://twitter.com/thesheilakelley
Grace Kelly | 
Jean Louisa Kelly | 
Lisa Robin Kelly | 
Minka Kelly | https://twitter.com/minkakelly
Moira Kelly | 
Nancy Kelly | 
Patsy Kelly | 
Anna Kendrick | 
Barbara Kent | 
Riley Keough | 
Margot Kidder | 
Nicole Kidman | 
Laura Kightlinger | 
Jaime King | 
Kent King | 
Regina King | 
Sally Kirkland | 
Tawny Kitaen | 
Eartha Kitt | 
Alexis Knapp | https://twitter.com/AlexisKnapp
Shirley Knight | 
Keisha Knight-Pulliam | 
Beyoncé Knowles | 
Susan Kohner | 
Nancy Kovack | 
Linda Kozlowski | 
Jane Krakowski | 
Lisa Kudrow | https://twitter.com/LisaKudrow
Mila Kunis | 
Swoosie Kurtz | 
Nancy Kwan | 
Eva LaRue | 
Cheryl Ladd | 
Diane Ladd | 
Christine Lahti | 
Sanoe Lake | 
Ricki Lake | 
Veronica Lake | 
Christine Lakin | 
Hedy Lamarr | 
Dorothy Lamour | 
Sarah Lancaster | https://twitter.com/SarahMLancaster
Juliet Landau | https://twitter.com/julietlandau
Audrey Landers | 
Judy Landers | 
Carole Landis | 
Diane Lane | 
Priscilla Lane | 
Hope Lange | 
Jessica Lange | 
Heather Langenkamp | 
A. J. Langer | 
Brooke Langton | 
Angela Lansbury | 
Joi Lansing | 
Liza Lapira | 
Ali Larter | https://twitter.com/TheRealAliL
Sanaa Lathan | 
Ashley Laurence | 
Piper Laurie | 
Linda Lavin | 
Barbara Lawrence | 
Jennifer Lawrence | 
Vicki Lawrence | 
Bianca Lawson | 
Maggie Lawson | 
Cloris Leachman | 
Sharon Leal | 
Kelly LeBrock | 
Diana Lee | 
Gwen Lee | 
Peggy Lee | 
Robinne Lee | 
Sheryl Lee | 
Andrea Leeds | 
Erica Leerhsen | 
Chyler Leigh | 
Janet Leigh | 
Jennifer Jason Leigh | 
Bethany Joy Lenz | http://twitter.com/BethanyJoyLenz/
Kay Lenz | 
Melissa Leo | 
Téa Leoni | 
Joan Leslie | 
Margarita Levieva | 
Juliette Lewis | https://twitter.com/juliettelewis
Vicki Lewis | 
Jennifer Lien | 
Judith Light | 
Abbey Lincoln | 
Riki Lindhome | https://twitter.com/rikilindhome
Bai Ling | 
Laura Linney | 
Peggy Lipton | 
Peyton List (actress born 1986) | 
Peyton List (actress born 1998) | https://twitter.com/PeytonList
Lucy Liu | 
Blake Lively | 
Sabrina Lloyd | 
Amy Locane | 
Sondra Locke | 
Heather Locklear | 
Lindsay Lohan | 
Alison Lohman | 
Kristanna Loken | 
Carole Lombard | 
Karina Lombard | https://twitter.com/ikarinalombard
Lauren London | 
Nia Long | 
Shelley Long | 
Eva Longoria | 
Jennifer Lopez | 
Traci Lords | 
Josie Loren | https://twitter.com/josloren
Joan Lorring | 
Lori Loughlin | https://twitter.com/LoriLoughlin
Demi Lovato | 
Bessie Love | 
Carey Lowell | 
Myrna Loy | 
Shannon Lucio | https://twitter.com/iamshannonlucio
Jamie Luner | https://twitter.com/JamieMLuner
Ida Lupino | 
Masiela Lusha | 
Dorothy Lyman | 
Jane Lynch | 
Kelly Lynch | 
Carol Lynley | 
Meredith Scott Lynn | 
Sue Lyon | 
Natasha Lyonne | 
June MacCloy | 
Andie MacDowell | 
Allison Mack | 
Dorothy Mackaill | 
Shirley MacLaine | 
Aline MacMahon | 
Amy Madigan | 
Bailee Madison | https://twitter.com/baileemadison
Madonna (entertainer) | 
Virginia Madsen | 
Marjorie Main | 
Tina Majorino | 
Wendie Malick | https://twitter.com/wendiemalick
Dorothy Malone | 
Jena Malone | 
Camryn Manheim | 
Leslie Mann | 
Taryn Manning | 
Jayne Mansfield | 
Gia Mantegna | 
Linda Manz | 
Adele Mara | 
Kate Mara | 
Rooney Mara | 
Vanessa Marcil | 
Ann-Margret | 
Julianna Margulies | 
Constance Marie | 
Brit Marling | 
Paula Marshall | 
Penny Marshall | 
Andrea Martin | 
Kellie Martin | 
Mary Martin | 
Meaghan Jette Martin | 
Pamela Sue Martin | 
Natalie Martinez | https://twitter.com/nataliemartinez
Marsha Mason | 
Chase Masterson | 
Mary Stuart Masterson | 
Mary Elizabeth Mastrantonio | 
Samantha Mathis | 
Marlee Matlin | https://twitter.com/MarleeMatlin
Marilyn Maxwell | 
Elaine May | 
Melanie Mayron | 
Jayma Mays | 
Debi Mazar | 
Monet Mazur | 
Irish McCalla | 
Mercedes McCambridge | 
Jenny McCarthy | 
Melissa McCarthy | 
Rue McClanahan | 
AnnaLynne McCord | 
Mary McCormack | 
Patty McCormack | 
Maureen McCormick | 
Kimberly McCullough | 
Jennette McCurdy | 
Hattie McDaniel | 
Mary McDonnell | 
Frances McDormand | 
Gates McFadden | 
Kelly McGillis | 
Elizabeth McGovern | 
Maureen McGovern | 
Rose McGowan | https://twitter.com/rosemcgowan
Dorothy McGuire | 
Kathryn McGuire | 
Lonette McKee | https://twitter.com/lonettemckee
Danica McKellar | 
Nancy McKeon | 
Nina Mae McKinney | 
Mercedes McNab | 
Maggie McNamara | 
Kristy McNichol | 
Katharine McPhee | 
Butterfly McQueen | 
Kay Medford | 
Leighton Meester | 
Tamara Mello | 
Eva Mendes | 
Bridgit Mendler | https://twitter.com/bridgitmendler
Idina Menzel | 
Lee Meriwether | https://twitter.com/LeeMeriwether
Una Merkel | 
Ethel Merman | 
Debra Messing | 
Dina Meyer | 
AJ Michalka | 
Aly Michalka | 
Lea Michele | https://twitter.com/msleamichele
Tammy Lynn Michaels | 
Bette Midler | 
Alyssa Milano | https://twitter.com/alyssa_milano
Sylvia Miles | 
Vera Miles | 
Penelope Milford | 
Ivana Miličević | 
Ann Miller | 
Christa Miller | 
Penelope Ann Miller | 
Donna Mills | 
Yvette Mimieux | 
Nicki Minaj | 
Rachel Miner | 
Liza Minnelli | 
Elizabeth Mitchell | 
Katherine Moennig | 
Gretchen Mol | 
Taylor Momsen | https://twitter.com/taylormomsen
Michelle Monaghan | 
Daniella Monet | https://twitter.com/DaniellaMonet
Elizabeth Montgomery | 
Mo'Nique | 
Marilyn Monroe | 
Demi Moore | https://twitter.com/justdemi
Grace Moore | 
Joanna Moore | 
Juanita Moore | 
Julianne Moore | https://twitter.com/_juliannemoore
Kenya Moore | 
Mandy Moore | https://twitter.com/TheMandyMoore
Mary Tyler Moore | 
Terry Moore (actress) | 
Agnes Moorehead | 
Erin Moran | 
Rita Moreno | 
Chloë Grace Moretz | 
Cathy Moriarty | 
Debbi Morgan | https://twitter.com/debbimorgan
Haviland Morris | 
Kathryn Morris | 
Jennifer Morrison | https://twitter.com/jenmorrisonlive
Shelley Morrison | 
Elisabeth Moss | 
Tamera Mowry | https://twitter.com/tameramowrytwo
Tia Mowry | https://twitter.com/tiamowry
Bridget Moynahan | 
Liliana Mumy | 
Diana Muldaur | 
Kate Mulgrew | 
Megan Mullally | 
Olivia Munn | https://twitter.com/oliviamunn
Brittany Murphy | 
Donna Murphy | 
Jillian Murray | 
Ming-Na | 
Nita Naldi | 
Florence Nash | 
Mildred Natwick | 
Elise Neal | 
Patricia Neal | 
Noel Neill | 
Kristin Nelson | 
Bebe Neuwirth | 
Julie Newmar | 
Barbara Nichols | 
Nichelle Nichols | https://twitter.com/RealNichelle
Rachel Nichols (actress) | https://twitter.com/RachelNichols1
Julianne Nicholson | 
Cynthia Nixon | 
Mabel Normand | 
Sheree North | 
Brandy Norwood | 
Kim Novak | 
Margaret O'Brien | 
Renee O'Connor | 
Rosie O'Donnell | 
Gail O'Grady | https://twitter.com/GailOGrady
Catherine O'Hara | 
Jodi Lyn O'Keefe | 
Tatum O'Neal | 
Barbara O'Neil | 
Jennifer O'Neill | 
Ahna O'Reilly | 
Maureen O'Sullivan | 
Annette O'Toole | 
Randi Oakes | 
Jacqueline Obradors | 
Kimberly Oja | 
Larisa Oleynik | 
Susan Oliver | 
Ashley Olsen | 
Mary-Kate Olsen | 
Elizabeth Olsen | 
Susan Olsen | 
Nancy Olson | 
Lupe Ontiveros | 
Ana Ortiz | https://twitter.com/TheRealAnaOrtiz
Madolyn Smith Osborne | 
Emily Osment | 
Beth Ostrosky | 
Cheri Oteri | 
Kelly Overton (actress) | 
Genevieve Padalecki | 
Ellen Page | 
Geraldine Page | 
Adrianne Palicki | https://twitter.com/adriannepalicki
Betsy Palmer | 
Gwyneth Paltrow | https://twitter.com/GwynethPaltrow
Danielle Panabaker | 
Hayden Panettiere | 
Annie Parisse | 
Grace Park (actress) | 
Linda Park | 
Eleanor Parker | 
Lara Parker | 
Mary-Louise Parker | 
Nicole Ari Parker | https://twitter.com/nicolearip
Sarah Jessica Parker | 
Leslie Parrish | 
Estelle Parsons | 
Karyn Parsons | 
Dolly Parton | 
Marnette Patterson | 
Alexandra Paul | 
Sarah Paulson | 
Sara Paxton | https://twitter.com/Sara_Paxton
Nia Peeples | 
Amanda Peet | 
Elizabeth Peña | 
Piper Perabo | http://twitter.com/PiperPerabo
Rosie Perez | 
Elizabeth Perkins | https://twitter.com/elizbethperkins
Rhea Perlman | 
Pauley Perrette | http://twitter.com/pauleyp
Valerie Perrine | 
Donna Pescow | 
Bernadette Peters | 
Jean Peters | 
Susan Peters | 
Amanda Peterson | 
Cassandra Peterson | 
Valarie Pettiford | 
Madison Pettis | https://twitter.com/MadisonPettis
Lori Petty | 
Dedee Pfeiffer | 
Michelle Pfeiffer | 
Mary Philbin | 
Busy Philipps | https://twitter.com/busyphilipps25
Gina Philips | 
Bijou Phillips | 
Mackenzie Phillips | 
Michelle Phillips | 
Cindy Pickett | 
Mary Pickford | 
Jada Pinkett Smith | 
Maria Pitillo | 
Zasu Pitts | 
Mary Kay Place | 
Dana Plato | 
Alice Playten | 
Suzanne Pleshette | 
Martha Plimpton | 
Eve Plumb | 
Amy Poehler | 
Sydney Tamiia Poitier | 
Teri Polo | 
Scarlett Pomers | 
Ellen Pompeo | https://twitter.com/EllenPompeo
Alisan Porter | 
Natalie Portman | 
